regex,term
low.grade|lgs(oc)?,lgsc
high.grade|hgs(o)?c,hgsc
sb(o)?t(s)?,sbt
th\d|treg,t-cell
mutat,mutation
^par$,parylation
taxon,taxonomy
transcript(?:ome)?,transcript
translat,translation
estrone.,estrone
hsv,hsv
^hios$,hio
^rna,rna
microrna,mirna
genom,genome
transcriptom,transcriptome
gynecolo,gynecologic
conserved,conserve
stiffness,stiff
erythro,erythroid
stromal,stroma
metastatic,metastasis
herpe,herpes
e.cigarette,ecigarette
link,link
^vivo,vivo
tum[ou]r,tumor
trapping,trap
^onco,onco
^vascular(?:.*)?,vascular
^mechano.*,mechano
\(|non-,
